caseid,age,sex,sei,region,polviews,natmass
53577,21,Female,26.4,South Atlantic,Moderate,Too Little
53578,21,Male,38.900002,South Atlantic,Liberal,About Right
53579,41,Female,63.5,South Atlantic,Moderate,About Right
53580,51,Female,63.5,South Atlantic,Conservative,Too Little
53582,35,Male,34.200001,South Atlantic,Conservative,Too Little
53583,47,Female,78.5,South Atlantic,Moderate,About Right
53584,41,Female,39.400002,South Atlantic,Liberal,Too Little
53585,65,Male,85.099998,South Atlantic,Conservative,Too Little
53586,34,Male,31.200001,South Atlantic,Extrmly Conservative,Too Little
53587,26,Female,32.400002,South Atlantic,Moderate,Too Little
53588,41,Female,73.199997,South Atlantic,Moderate,Too Little
53589,39,Female,38.5,South Atlantic,Liberal,About Right
53590,66,Female,63.200001,South Atlantic,Conservative,About Right
53591,32,Female,50.700001,South Atlantic,Conservative,Too Little
53592,56,Female,51.900002,South Atlantic,Slightly Conservative,Too Much
53594,48,Male,86.5,South Atlantic,Conservative,Too Little
53597,33,Male,28.4,South Atlantic,Moderate,Too Little
53598,54,Male,63.5,South Atlantic,Extrmly Conservative,Too Little
53600,47,Male,63.5,South Atlantic,Slightly Liberal,Too Little
53602,29,Female,29.299999,South Atlantic,Extremely Liberal,Too Little
53603,37,Female,46.700001,South Atlantic,Moderate,Too Little
53604,43,Male,38.900002,Mountain,Conservative,About Right
53605,29,Female,38.5,Mountain,Moderate,Too Little
53606,56,Male,33.900002,Mountain,Slightly Liberal,Too Little
53607,33,Male,28.6,Mountain,Moderate,Too Little
53608,31,Male,34.200001,Mountain,Slightly Conservative,About Right
53609,27,Female,41.599998,Mountain,Moderate,About Right
53610,33,Male,36.5,Mountain,Moderate,Too Little
53611,31,Female,26.4,Mountain,Conservative,Too Much
53612,81,Female,64.199997,Mountain,Conservative,About Right
53613,78,Female,30.200001,Mountain,Extrmly Conservative,Too Little
53614,58,Male,31.299999,Mountain,Extrmly Conservative,About Right
53615,89,Female,34.599998,Mountain,Extrmly Conservative,Too Much
53616,88,Male,86.599998,Mountain,Conservative,About Right
53617,18,Male,38.900002,Mountain,Extremely Liberal,Too Much
53618,40,Male,82.699997,Mountain,Slightly Conservative,About Right
53619,69,Male,83.699997,Mountain,Conservative,About Right
53620,74,Female,25.5,Mountain,Moderate,Too Much
53622,79,Female,38.400002,Mountain,Moderate,Too Little
53623,58,Female,63.5,Mountain,Moderate,About Right
53624,62,Female,33.299999,South Atlantic,Slightly Conservative,About Right
53625,64,Male,32.299999,South Atlantic,Extrmly Conservative,About Right
53627,31,Male,24.200001,South Atlantic,Moderate,About Right
53628,65,Male,29.5,South Atlantic,Conservative,Too Much
53629,62,Female,62.5,South Atlantic,Moderate,About Right
53630,46,Male,73.300003,South Atlantic,Conservative,Too Much
53631,54,Female,74.900002,South Atlantic,Moderate,Too Little
53633,44,Male,63.5,South Atlantic,Slightly Conservative,Too Little
53634,36,Male,28.6,South Atlantic,Slightly Liberal,About Right
53636,20,Male,31.4,South Atlantic,Slightly Liberal,Too Little
53637,62,Female,63.5,South Atlantic,Conservative,Too Little
53638,56,Female,22.700001,South Atlantic,Moderate,About Right
53639,21,Male,28.4,W. Nor. Central,Liberal,Too Little
53640,25,Female,35.200001,W. Nor. Central,Extremely Liberal,Too Little
53641,24,Female,35.400002,W. Nor. Central,Moderate,About Right
53642,30,Female,78.5,W. Nor. Central,Liberal,About Right
53643,68,Male,49.900002,W. Nor. Central,Slightly Liberal,About Right
53644,25,Female,46.799999,W. Nor. Central,Slightly Conservative,Too Much
53645,67,Male,60.5,W. Nor. Central,Liberal,Too Little
53646,52,Male,75.900002,W. Nor. Central,Conservative,Too Little
53647,53,Female,37.700001,W. Nor. Central,Slightly Conservative,Too Little
53648,58,Female,48.5,W. Nor. Central,Moderate,About Right
53649,32,Female,50.700001,W. Nor. Central,Moderate,About Right
53650,58,Female,37.400002,W. Nor. Central,Liberal,About Right
53651,43,Male,63.5,W. Nor. Central,Slightly Liberal,Too Little
53652,57,Male,63.5,W. Nor. Central,Slightly Conservative,Too Little
53654,31,Male,39,W. Nor. Central,Moderate,Too Little
53655,46,Male,63.5,W. Nor. Central,Conservative,Too Much
53656,77,Male,87.400002,W. Nor. Central,Liberal,Too Little
53657,25,Male,32.299999,W. Nor. Central,Moderate,Too Much
53658,49,Male,64.099998,W. Nor. Central,Slightly Liberal,About Right
53659,44,Male,32.299999,W. Nor. Central,Moderate,About Right
53660,39,Male,38.099998,W. Nor. Central,Slightly Liberal,Too Much
53661,54,Male,26.6,W. Nor. Central,Liberal,About Right
53662,56,Male,63.5,W. Nor. Central,Moderate,Too Little
53663,56,Male,62.099998,South Atlantic,Slightly Liberal,Too Little
53664,34,Male,87.900002,South Atlantic,Slightly Conservative,About Right
53665,30,Female,30.799999,South Atlantic,Extremely Liberal,Too Little
53666,42,Male,64.800003,South Atlantic,Slightly Liberal,Too Little
53667,40,Male,82.699997,South Atlantic,Moderate,Too Little
53668,68,Female,38.400002,South Atlantic,Conservative,About Right
53669,68,Female,26.700001,South Atlantic,Conservative,About Right
53670,82,Female,63.5,South Atlantic,Moderate,About Right
53671,20,Female,38.400002,South Atlantic,Extremely Liberal,Too Much
53673,27,Female,76.5,South Atlantic,Moderate,Too Little
53674,34,Male,38.400002,South Atlantic,Slightly Liberal,About Right
53675,41,Female,38.900002,South Atlantic,Conservative,Too Little
53676,75,Male,28.4,South Atlantic,Conservative,About Right
53677,71,Female,38.400002,South Atlantic,Conservative,About Right
53678,45,Male,31.299999,South Atlantic,Moderate,About Right
53679,48,Female,71.599998,South Atlantic,Moderate,Too Little
53680,31,Female,80.900002,South Atlantic,Moderate,About Right
53681,68,Female,17.6,South Atlantic,Extremely Liberal,Too Little
53682,54,Female,63.5,South Atlantic,Moderate,Too Much
53684,63,Male,35.400002,South Atlantic,Conservative,About Right
53685,28,Female,29.299999,South Atlantic,Moderate,Too Little
53686,44,Female,28.4,South Atlantic,Moderate,Too Little
53687,37,Female,62.5,South Atlantic,Conservative,Too Little
53688,69,Female,37.700001,South Atlantic,Moderate,Too Little
53691,25,Male,36.400002,South Atlantic,Moderate,About Right
53694,42,Female,22.5,South Atlantic,Moderate,Too Little
53695,59,Female,80.300003,South Atlantic,Liberal,Too Little
53696,84,Male,73.300003,South Atlantic,Extrmly Conservative,Too Little
53697,60,Female,76.400002,W. Nor. Central,Liberal,Too Little
53698,26,Female,30.799999,W. Nor. Central,Moderate,Too Little
53699,22,Female,32.400002,W. Nor. Central,Slightly Liberal,About Right
53700,55,Female,33.099998,W. Nor. Central,Slightly Conservative,About Right
53702,57,Female,80.300003,W. Nor. Central,Slightly Liberal,Too Little
53703,43,Female,38,E. Nor. Central,Moderate,Too Little
53704,40,Male,58.799999,E. Nor. Central,Slightly Conservative,Too Little
53705,38,Male,36.5,E. Nor. Central,Moderate,About Right
53706,65,Male,48.900002,E. Nor. Central,Slightly Conservative,Too Little
53708,67,Female,37.700001,W. Nor. Central,Conservative,Too Little
53709,62,Female,38.400002,W. Nor. Central,Moderate,Too Little
53710,58,Female,38.900002,W. Nor. Central,Moderate,Too Little
53713,51,Female,73.199997,W. Nor. Central,Slightly Conservative,Too Little
53714,72,Female,29.299999,W. Nor. Central,Slightly Conservative,Too Little
53715,84,Female,38.400002,W. Nor. Central,Moderate,Too Much
53716,37,Female,26.4,W. Nor. Central,Slightly Conservative,About Right
53717,66,Male,27.700001,W. Nor. Central,Liberal,About Right
53720,55,Female,50.5,W. Sou. Central,Slightly Conservative,Too Much
53722,38,Female,63.5,W. Sou. Central,Slightly Liberal,Too Little
53725,25,Male,32.400002,W. Sou. Central,Moderate,About Right
53726,21,Female,38.900002,W. Sou. Central,Slightly Liberal,Too Little
53727,23,Female,33.099998,W. Sou. Central,Moderate,About Right
53728,55,Female,36.5,W. Sou. Central,Moderate,About Right
53730,24,Female,56.599998,W. Sou. Central,Conservative,About Right
53731,45,Male,50.299999,W. Sou. Central,Conservative,About Right
53732,72,Female,38.900002,W. Sou. Central,Slightly Liberal,Too Little
53733,83,Male,65.800003,South Atlantic,Moderate,Too Little
53734,88,Male,32.299999,South Atlantic,Moderate,Too Little
53735,76,Male,63.5,South Atlantic,Slightly Liberal,Too Little
53736,50,Female,43.700001,South Atlantic,Extrmly Conservative,About Right
53737,49,Female,76.400002,South Atlantic,Liberal,About Right
53738,43,Male,49.900002,South Atlantic,Conservative,Too Little
53739,32,Male,76.400002,South Atlantic,Conservative,About Right
53740,27,Female,82.699997,South Atlantic,Moderate,Too Little
53742,41,Female,33.099998,South Atlantic,Conservative,About Right
53743,42,Female,56.599998,South Atlantic,Moderate,Too Little
53744,43,Female,33.099998,South Atlantic,Moderate,About Right
53745,38,Female,29.200001,South Atlantic,Slightly Liberal,Too Little
53746,34,Female,64.800003,South Atlantic,Liberal,Too Little
53747,29,Female,73.599998,South Atlantic,Moderate,Too Little
53748,29,Male,66.099998,South Atlantic,Liberal,Too Little
53749,22,Female,38.400002,South Atlantic,Liberal,About Right
53750,23,Female,37.700001,South Atlantic,Liberal,About Right
53751,54,Male,63.5,South Atlantic,Moderate,About Right
53753,54,Female,38.900002,South Atlantic,Conservative,Too Little
53754,29,Female,38.400002,South Atlantic,Slightly Conservative,About Right
53755,56,Female,34.599998,Pacific,Slightly Liberal,About Right
53756,34,Male,38.900002,Pacific,Conservative,Too Little
53757,48,Male,27.5,Pacific,Moderate,About Right
53758,38,Female,35.099998,Pacific,Liberal,Too Much
53759,64,Female,28.4,Pacific,Moderate,About Right
53760,49,Male,34.299999,Pacific,Moderate,About Right
53761,31,Male,42.299999,Pacific,Moderate,Too Little
53764,33,Male,63.200001,Pacific,Moderate,Too Much
53765,44,Male,52.400002,Pacific,Slightly Conservative,Too Little
53766,61,Male,63.5,Pacific,Conservative,About Right
53767,48,Female,63.5,Pacific,Liberal,Too Little
53768,50,Male,73.300003,Pacific,Slightly Conservative,About Right
53769,58,Male,87.900002,Pacific,Conservative,Too Little
53770,43,Male,34.200001,Pacific,Slightly Liberal,About Right
53771,30,Male,63.5,Pacific,Moderate,Too Little
53772,47,Male,34.200001,Pacific,Slightly Conservative,Too Little
53774,56,Male,29.299999,Pacific,Moderate,Too Much
53775,50,Male,67,Pacific,Slightly Conservative,Too Little
53776,83,Male,86,Pacific,Moderate,Too Little
53777,50,Male,85.099998,Pacific,Conservative,About Right
53778,43,Male,97.199997,Pacific,Moderate,Too Little
53779,31,Male,25.299999,Pacific,Moderate,Too Little
53780,77,Female,73.199997,Pacific,Conservative,About Right
53781,32,Male,38.099998,Pacific,Liberal,Too Much
53782,21,Male,66.099998,Pacific,Moderate,Too Little
53783,37,Female,83.900002,Pacific,Liberal,Too Little
53784,52,Male,52.5,Pacific,Moderate,Too Little
53785,54,Male,64.099998,Pacific,Moderate,Too Little
53786,25,Female,56.599998,Pacific,Moderate,Too Little
53787,28,Female,29.299999,Pacific,Moderate,Too Little
53788,65,Male,32.299999,Pacific,Moderate,Too Much
53789,52,Female,80.300003,Middle Atlantic,Moderate,About Right
53790,60,Female,63.5,Middle Atlantic,Liberal,Too Little
53792,36,Male,69.199997,Middle Atlantic,Moderate,About Right
53794,45,Male,28.4,Middle Atlantic,Moderate,Too Little
53795,35,Male,29.299999,Middle Atlantic,Liberal,Too Little
53796,49,Male,48.5,Middle Atlantic,Conservative,About Right
53797,23,Female,33.900002,Middle Atlantic,Conservative,Too Little
53798,74,Female,38.400002,Middle Atlantic,Slightly Conservative,Too Little
53799,35,Male,34.200001,Middle Atlantic,Moderate,About Right
53800,42,Female,27.700001,Middle Atlantic,Conservative,About Right
53801,45,Male,34.200001,Middle Atlantic,Moderate,About Right
53802,38,Male,82.699997,Mountain,Liberal,Too Little
53803,54,Male,33.599998,Mountain,Conservative,Too Little
53804,27,Male,38.900002,Mountain,Moderate,Too Little
53805,28,Male,64.199997,Mountain,Liberal,Too Little
53806,63,Male,38.700001,Mountain,Moderate,About Right
53807,27,Male,63.200001,Mountain,Conservative,About Right
53808,70,Female,71.599998,Mountain,Slightly Liberal,Too Little
53809,24,Female,33.099998,Mountain,Moderate,About Right
53810,74,Female,80.300003,Mountain,Slightly Conservative,About Right
53811,55,Female,57.099998,Mountain,Liberal,Too Little
53812,32,Female,63.5,Mountain,Slightly Conservative,Too Much
53813,20,Female,36.5,Mountain,Moderate,About Right
53814,27,Male,24.799999,Mountain,Slightly Liberal,Too Little
53815,45,Female,81,Mountain,Liberal,Too Little
53816,36,Male,49.599998,Mountain,Moderate,About Right
53817,49,Female,63.5,Mountain,Slightly Liberal,About Right
53818,51,Female,28.4,Mountain,Liberal,About Right
53819,60,Female,73.800003,Mountain,Liberal,Too Little
53820,58,Female,38,Mountain,Moderate,About Right
53821,32,Female,33.099998,Mountain,Moderate,Too Much
53822,41,Male,45.900002,E. Nor. Central,Conservative,About Right
53823,73,Female,34.799999,E. Nor. Central,Slightly Liberal,Too Little
53824,68,Female,38,E. Nor. Central,Liberal,Too Little
53825,63,Male,38.200001,E. Nor. Central,Moderate,About Right
53826,56,Female,31.4,E. Nor. Central,Extremely Liberal,Too Much
53827,35,Female,53.200001,E. Nor. Central,Liberal,Too Little
53828,53,Female,28.4,E. Nor. Central,Slightly Liberal,About Right
53829,72,Female,28.4,E. Nor. Central,Slightly Conservative,Too Little
53830,70,Female,36.5,E. Nor. Central,Moderate,About Right
53831,32,Male,50.700001,E. Nor. Central,Slightly Conservative,Too Little
53832,56,Male,92.300003,E. Nor. Central,Moderate,Too Little
53833,62,Female,63.200001,E. Nor. Central,Slightly Conservative,Too Little
53834,49,Male,92.300003,E. Nor. Central,Moderate,Too Little
53837,51,Female,53.299999,New England,Liberal,Too Much
53838,70,Female,38,New England,Conservative,Too Much
53839,55,Female,63.200001,New England,Slightly Liberal,About Right
53840,42,Female,38.400002,New England,Slightly Liberal,About Right
53841,61,Male,51.900002,New England,Conservative,Too Much
53842,49,Female,88.199997,New England,Liberal,Too Little
53844,40,Male,60.5,New England,Moderate,About Right
53845,22,Female,33.900002,New England,Moderate,About Right
53846,88,Male,19.4,New England,Slightly Liberal,Too Much
53847,27,Male,29.200001,New England,Liberal,Too Much
53849,27,Male,21.200001,New England,Moderate,About Right
53850,60,Male,80.300003,New England,Moderate,Too Little
53851,59,Male,80.300003,New England,Conservative,Too Little
53852,73,Female,73.199997,New England,Slightly Conservative,About Right
53853,46,Female,35.400002,New England,Moderate,About Right
53854,43,Female,38,New England,Conservative,About Right
53855,50,Male,80.300003,New England,Moderate,Too Little
53856,59,Female,80.300003,Middle Atlantic,Liberal,Too Little
53857,76,Male,87.900002,Middle Atlantic,Moderate,Too Little
53858,52,Male,38.900002,Middle Atlantic,Liberal,About Right
53859,30,Male,33.099998,Middle Atlantic,Moderate,About Right
53860,23,Male,32.299999,Middle Atlantic,Slightly Liberal,Too Little
53861,76,Female,38.400002,Middle Atlantic,Moderate,About Right
53862,56,Male,30.4,Middle Atlantic,Conservative,About Right
53864,21,Male,53.299999,Middle Atlantic,Liberal,About Right
53865,56,Male,87,Middle Atlantic,Liberal,Too Little
53866,30,Male,66.099998,Middle Atlantic,Moderate,Too Little
53869,22,Female,43.299999,Middle Atlantic,Slightly Conservative,Too Little
53870,60,Male,69.699997,Middle Atlantic,Extremely Liberal,Too Little
53871,55,Male,48.5,Middle Atlantic,Conservative,Too Little
53872,36,Female,32.400002,Middle Atlantic,Slightly Liberal,About Right
53873,41,Female,33.900002,Middle Atlantic,Moderate,About Right
53874,58,Female,29.1,Middle Atlantic,Moderate,Too Much
53876,67,Male,68.800003,Middle Atlantic,Moderate,Too Little
53877,60,Male,76.400002,Middle Atlantic,Moderate,Too Little
53878,58,Female,28.4,Middle Atlantic,Moderate,About Right
53879,60,Male,33.099998,Middle Atlantic,Slightly Liberal,Too Little
53880,35,Male,78,Middle Atlantic,Moderate,About Right
53882,31,Female,33.099998,Middle Atlantic,Moderate,About Right
53883,67,Female,37.400002,Middle Atlantic,Slightly Conservative,About Right
53884,60,Male,40,Middle Atlantic,Liberal,About Right
53885,58,Female,38.700001,Middle Atlantic,Conservative,Too Little
53886,77,Female,32.400002,Middle Atlantic,Conservative,Too Little
53887,41,Female,87,Middle Atlantic,Slightly Conservative,Too Little
53888,49,Female,63.5,Middle Atlantic,Moderate,About Right
53889,68,Female,38,Middle Atlantic,Moderate,About Right
53890,56,Female,73.199997,Middle Atlantic,Moderate,Too Much
53891,41,Male,87,Middle Atlantic,Liberal,Too Little
53892,55,Female,33.099998,Middle Atlantic,Slightly Conservative,Too Much
53893,81,Female,73.199997,Middle Atlantic,Conservative,Too Little
53894,44,Male,32.299999,Middle Atlantic,Conservative,About Right
53895,61,Male,86,Middle Atlantic,Conservative,Too Much
53896,36,Male,37.299999,Middle Atlantic,Conservative,Too Little
53897,67,Female,80.300003,Middle Atlantic,Slightly Liberal,Too Little
53898,42,Female,50.5,Middle Atlantic,Moderate,About Right
53899,21,Female,33.099998,Middle Atlantic,Moderate,Too Little
53900,56,Female,32.400002,Middle Atlantic,Moderate,Too Little
53901,46,Female,29.299999,Middle Atlantic,Liberal,Too Little
53903,84,Female,38,Middle Atlantic,Moderate,About Right
53904,47,Male,73.900002,Middle Atlantic,Slightly Conservative,Too Much
53905,89,Male,63.5,Middle Atlantic,Moderate,About Right
53906,57,Female,53.700001,Middle Atlantic,Moderate,Too Little
53907,34,Female,39.599998,Middle Atlantic,Conservative,About Right
53908,70,Female,28.4,Middle Atlantic,Moderate,About Right
53910,30,Male,63.5,Middle Atlantic,Moderate,Too Little
53911,53,Male,28.4,Middle Atlantic,Moderate,Too Little
53912,44,Male,50.700001,Middle Atlantic,Moderate,About Right
53913,59,Female,32.400002,Middle Atlantic,Moderate,Too Little
53914,71,Female,36.5,Middle Atlantic,Moderate,About Right
53915,30,Female,63.5,Middle Atlantic,Moderate,Too Little
53916,49,Female,38.900002,Middle Atlantic,Conservative,About Right
53917,83,Female,38,E. Nor. Central,Moderate,About Right
53918,63,Male,43.200001,E. Nor. Central,Slightly Conservative,Too Much
53919,77,Male,47,E. Nor. Central,Liberal,About Right
53920,27,Female,27.299999,E. Nor. Central,Liberal,About Right
53921,44,Male,43.200001,E. Nor. Central,Conservative,About Right
53922,52,Male,26.700001,E. Nor. Central,Slightly Liberal,About Right
53923,25,Female,28.200001,E. Nor. Central,Moderate,Too Little
53924,70,Female,37.700001,E. Nor. Central,Liberal,Too Little
53925,74,Female,73.199997,E. Nor. Central,Conservative,Too Little
53926,36,Female,39.400002,E. Nor. Central,Slightly Liberal,Too Little
53927,61,Male,31.5,E. Nor. Central,Moderate,Too Little
53928,52,Male,28.6,E. Nor. Central,Moderate,About Right
53929,82,Female,27.5,E. Nor. Central,Moderate,About Right
53930,61,Male,33.200001,E. Nor. Central,Moderate,About Right
53932,38,Male,32.299999,E. Nor. Central,Slightly Liberal,About Right
53933,23,Female,32.400002,E. Nor. Central,Moderate,Too Little
53935,21,Male,22.700001,E. Nor. Central,Slightly Liberal,Too Much
53937,75,Male,31.299999,E. Nor. Central,Slightly Conservative,About Right
53938,46,Male,31.5,E. Nor. Central,Slightly Liberal,Too Much
53939,22,Female,29.299999,E. Nor. Central,Moderate,About Right
53940,49,Female,38.5,E. Nor. Central,Moderate,About Right
53941,70,Female,32.400002,E. Nor. Central,Slightly Liberal,Too Much
53942,60,Female,58.099998,E. Nor. Central,Extremely Liberal,Too Little
53943,59,Female,76.300003,E. Nor. Central,Moderate,About Right
53944,42,Female,32,E. Nor. Central,Extrmly Conservative,About Right
53945,37,Female,63.5,E. Nor. Central,Moderate,Too Little
53946,29,Female,33.099998,E. Nor. Central,Conservative,Too Little
53947,64,Male,88.800003,E. Nor. Central,Moderate,Too Little
53949,72,Male,84.5,E. Nor. Central,Liberal,About Right
53950,33,Male,61.900002,E. Nor. Central,Slightly Conservative,About Right
53951,52,Female,78.5,E. Nor. Central,Conservative,About Right
53952,56,Male,65.800003,E. Nor. Central,Extrmly Conservative,About Right
53954,48,Female,31.200001,E. Nor. Central,Moderate,Too Little
53955,20,Female,36.5,E. Nor. Central,Moderate,About Right
53956,43,Male,48.5,E. Nor. Central,Moderate,Too Little
53957,52,Male,36.400002,E. Nor. Central,Slightly Conservative,Too Little
53958,30,Female,34.400002,E. Nor. Central,Moderate,About Right
53959,49,Male,28.4,E. Nor. Central,Slightly Conservative,Too Much
53960,60,Male,38.200001,E. Nor. Central,Liberal,About Right
53961,32,Female,31.200001,E. Nor. Central,Slightly Conservative,Too Much
53962,31,Male,50.700001,E. Nor. Central,Moderate,Too Little
53963,33,Male,27.700001,E. Nor. Central,Slightly Liberal,Too Much
53964,32,Female,78.5,E. Nor. Central,Slightly Conservative,About Right
53965,46,Female,33.099998,E. Nor. Central,Slightly Liberal,Too Little
53966,62,Female,33.099998,E. Nor. Central,Conservative,About Right
53967,69,Male,92.300003,E. Nor. Central,Slightly Liberal,Too Little
53968,69,Female,63.5,E. Nor. Central,Slightly Conservative,About Right
53969,27,Male,39.400002,E. Nor. Central,Moderate,Too Little
53971,62,Male,38.900002,E. Nor. Central,Slightly Liberal,Too Little
53972,32,Female,41.599998,E. Nor. Central,Conservative,Too Much
53973,28,Female,73.199997,E. Nor. Central,Slightly Conservative,Too Little
53974,29,Female,78.5,E. Nor. Central,Liberal,Too Little
53975,61,Male,87.400002,E. Nor. Central,Extremely Liberal,Too Little
53976,44,Male,42.200001,E. Nor. Central,Slightly Conservative,About Right
53977,33,Male,32.299999,E. Nor. Central,Moderate,Too Little
53978,19,Female,32.400002,E. Nor. Central,Slightly Liberal,About Right
53979,20,Male,59.299999,E. Nor. Central,Conservative,Too Little
53980,37,Male,37.299999,E. Nor. Central,Slightly Conservative,About Right
53981,50,Male,38,E. Nor. Central,Slightly Liberal,About Right
53982,80,Male,27.700001,E. Nor. Central,Moderate,Too Little
53983,57,Female,78.5,E. Nor. Central,Moderate,About Right
53984,27,Male,63.5,E. Nor. Central,Slightly Conservative,About Right
53985,19,Male,33.099998,E. Nor. Central,Moderate,About Right
53986,33,Female,38.5,E. Nor. Central,Liberal,About Right
53987,59,Female,73.199997,E. Nor. Central,Moderate,About Right
53988,31,Male,27.5,E. Nor. Central,Moderate,About Right
53989,68,Female,48.900002,E. Nor. Central,Moderate,About Right
53992,33,Female,32.400002,E. Nor. Central,Slightly Liberal,Too Little
53993,40,Female,27.700001,E. Nor. Central,Liberal,Too Much
53994,60,Female,64.800003,E. Nor. Central,Moderate,Too Little
53995,59,Female,80.900002,E. Nor. Central,Liberal,About Right
53996,25,Male,32.299999,E. Nor. Central,Moderate,About Right
53998,54,Female,37.700001,E. Nor. Central,Liberal,About Right
53999,26,Male,87,E. Nor. Central,Liberal,Too Little
54000,22,Male,38.400002,E. Nor. Central,Slightly Liberal,Too Little
54001,36,Male,48.5,E. Nor. Central,Moderate,Too Much
54002,22,Male,27.5,E. Nor. Central,Conservative,Too Little
54003,63,Female,74.400002,E. Nor. Central,Slightly Liberal,Too Much
54004,40,Female,86.800003,E. Nor. Central,Conservative,Too Little
54005,35,Male,86,E. Nor. Central,Slightly Conservative,Too Much
54006,67,Female,38.400002,E. Nor. Central,Conservative,About Right
54007,56,Female,50.5,E. Nor. Central,Conservative,Too Little
54008,25,Male,43.700001,E. Nor. Central,Extrmly Conservative,About Right
54009,32,Female,26.700001,E. Nor. Central,Moderate,About Right
54010,25,Male,31.5,E. Nor. Central,Slightly Conservative,About Right
54011,80,Female,63.5,E. Nor. Central,Conservative,Too Much
54012,47,Female,36.5,E. Nor. Central,Slightly Conservative,Too Little
54014,28,Female,33.099998,E. Nor. Central,Conservative,Too Little
54016,61,Female,80.300003,E. Nor. Central,Extrmly Conservative,About Right
54017,85,Female,37.700001,E. Nor. Central,Conservative,Too Little
54018,53,Female,29.200001,E. Nor. Central,Moderate,Too Little
54019,36,Female,64.099998,E. Nor. Central,Slightly Liberal,Too Little
54020,65,Male,50.700001,E. Nor. Central,Conservative,About Right
54021,23,Male,71.199997,E. Nor. Central,Liberal,Too Little
54023,32,Female,78.5,E. Nor. Central,Moderate,About Right
54024,81,Male,32.299999,E. Nor. Central,Moderate,About Right
54025,26,Male,28.4,E. Nor. Central,Moderate,About Right
54026,30,Female,56.599998,E. Nor. Central,Conservative,About Right
54027,74,Female,29,E. Nor. Central,Moderate,About Right
54028,58,Female,39.599998,E. Nor. Central,Moderate,Too Little
54029,63,Female,63.5,E. Nor. Central,Slightly Conservative,Too Little
54030,53,Female,63.5,E. Nor. Central,Slightly Conservative,Too Little
54031,63,Male,92.300003,E. Nor. Central,Slightly Liberal,Too Little
54032,34,Female,73.199997,E. Nor. Central,Liberal,Too Little
54033,59,Male,66.099998,E. Nor. Central,Slightly Conservative,Too Little
54034,64,Female,78.5,E. Nor. Central,Slightly Conservative,About Right
54035,58,Female,53.299999,E. Nor. Central,Slightly Liberal,About Right
54036,75,Female,73.800003,E. Nor. Central,Extremely Liberal,Too Little
54037,84,Female,73.199997,E. Nor. Central,Slightly Liberal,Too Little
54038,56,Female,73.199997,E. Nor. Central,Slightly Liberal,Too Little
54040,30,Female,73.300003,E. Nor. Central,Liberal,About Right
54041,21,Female,37.700001,E. Nor. Central,Moderate,Too Little
54042,39,Male,31.4,E. Nor. Central,Conservative,Too Little
54043,43,Female,38.400002,E. Nor. Central,Slightly Liberal,About Right
54044,62,Female,36.5,E. Nor. Central,Moderate,Too Little
54045,24,Male,27.5,E. Nor. Central,Moderate,About Right
54046,61,Female,50.700001,E. Nor. Central,Moderate,About Right
54047,45,Female,31.200001,E. Nor. Central,Liberal,About Right
54049,27,Female,50.700001,E. Nor. Central,Conservative,Too Much
54050,72,Male,65.800003,E. Nor. Central,Moderate,About Right
54051,58,Female,22.5,E. Nor. Central,Moderate,Too Much
54052,45,Male,96,E. Nor. Central,Slightly Conservative,Too Little
54053,49,Male,63.5,E. Nor. Central,Slightly Conservative,Too Little
54054,51,Male,31.5,E. Nor. Central,Conservative,Too Little
54055,57,Male,76.300003,E. Nor. Central,Extrmly Conservative,Too Much
54056,44,Male,64.099998,E. Nor. Central,Slightly Conservative,Too Little
54057,31,Male,73.300003,E. Nor. Central,Moderate,Too Little
54058,39,Female,37.700001,E. Nor. Central,Extrmly Conservative,Too Little
54059,39,Male,38.900002,E. Nor. Central,Conservative,Too Much
54060,59,Male,27.700001,E. Nor. Central,Moderate,About Right
54061,33,Male,32,E. Nor. Central,Slightly Conservative,About Right
54062,36,Female,50.700001,E. Nor. Central,Moderate,Too Little
54063,59,Female,78.5,E. Nor. Central,Moderate,Too Little
54064,77,Female,38.900002,E. Nor. Central,Conservative,About Right
54065,44,Male,60.599998,E. Nor. Central,Liberal,About Right
54066,62,Female,37.700001,E. Nor. Central,Moderate,Too Much
54068,38,Male,63.5,E. Nor. Central,Liberal,Too Little
54069,31,Female,88.300003,E. Nor. Central,Liberal,About Right
54070,19,Female,22.700001,E. Nor. Central,Extremely Liberal,Too Little
54071,25,Female,40.200001,E. Nor. Central,Moderate,About Right
54073,26,Female,32.400002,E. Nor. Central,Moderate,Too Little
54074,46,Male,29.4,E. Nor. Central,Moderate,About Right
54075,63,Female,80.300003,E. Nor. Central,Moderate,About Right
54076,63,Male,31.5,E. Nor. Central,Moderate,Too Little
54079,89,Male,78.5,E. Nor. Central,Moderate,About Right
54080,28,Female,35.400002,E. Nor. Central,Moderate,Too Little
54081,69,Female,32.299999,E. Nor. Central,Slightly Liberal,About Right
54082,83,Female,38.400002,E. Nor. Central,Conservative,Too Little
54083,41,Female,76.400002,E. Nor. Central,Moderate,About Right
54084,69,Female,64.199997,E. Nor. Central,Extremely Liberal,Too Little
54085,22,Female,50.5,E. Nor. Central,Moderate,About Right
54086,58,Male,83.199997,E. Nor. Central,Conservative,Too Little
54087,74,Female,53.700001,E. Nor. Central,Moderate,Too Little
