natmass,age,sex,sei,region,polviews
About Right,36,Male,65.800003,E. Nor. Central,Slightly Conservative
About Right,43,Male,63.5,Mountain,Conservative
Too Little,76,Male,28.6,Pacific,Slightly Conservative
About Right,42,Male,63.5,E. Sou. Central,Moderate
About Right,23,Female,63.5,Pacific,Moderate
About Right,31,Female,59.099998,E. Nor. Central,Moderate
About Right,46,Female,38.900002,South Atlantic,Conservative
Too Little,78,Female,71.599998,E. Nor. Central,Liberal
Too Little,66,Female,38.400002,South Atlantic,Moderate
Too Much,42,Male,31.4,South Atlantic,Moderate
Too Little,26,Male,28.799999,South Atlantic,Slightly Liberal
Too Little,27,Female,62.5,Pacific,Moderate
About Right,22,Male,37.900002,New England,Slightly Liberal
Too Little,42,Male,76.400002,South Atlantic,Conservative
Too Much,29,Male,63.200001,Pacific,Slightly Conservative
About Right,50,Male,48.900002,E. Nor. Central,Conservative
Too Little,36,Male,63.200001,Mountain,Moderate
About Right,50,Female,80.300003,E. Sou. Central,Moderate
Too Little,44,Male,37.700001,E. Nor. Central,Extremely Liberal
Too Little,40,Female,38.400002,Pacific,Liberal
Too Little,40,Male,63.5,Pacific,Moderate
About Right,44,Female,43.700001,W. Sou. Central,Extremely Liberal
Too Little,70,Female,36.5,W. Nor. Central,Liberal
About Right,22,Male,61.900002,Pacific,Slightly Liberal
About Right,21,Female,28.4,Pacific,Slightly Conservative
About Right,61,Male,37.299999,South Atlantic,Moderate
Too Much,63,Male,27.700001,W. Sou. Central,Extremely Liberal
Too Little,78,Male,45.299999,New England,Slightly Conservative
Too Much,48,Female,51.900002,E. Nor. Central,Slightly Conservative
Too Little,27,Female,38.900002,South Atlantic,Moderate
About Right,32,Male,93.099998,W. Sou. Central,Slightly Liberal
Too Little,69,Male,38.900002,E. Nor. Central,Conservative
Too Little,33,Male,49.599998,E. Nor. Central,Moderate
Too Little,47,Male,38.900002,South Atlantic,Moderate
Too Little,32,Male,60.5,Pacific,Conservative
Too Little,39,Female,74.400002,W. Nor. Central,Moderate
Too Little,61,Male,63.5,South Atlantic,Moderate
About Right,27,Male,27.5,South Atlantic,Slightly Conservative
About Right,30,Female,63.5,E. Sou. Central,Moderate
About Right,39,Female,26.700001,South Atlantic,Slightly Liberal
About Right,74,Female,26.4,Pacific,Moderate
Too Little,31,Female,63.5,Middle Atlantic,Moderate
Too Little,38,Female,66.099998,Mountain,Slightly Conservative
About Right,60,Female,29.700001,Middle Atlantic,Moderate
About Right,21,Female,63.5,Mountain,Moderate
Too Little,56,Female,73.199997,E. Nor. Central,Slightly Liberal
Too Little,50,Female,73.199997,South Atlantic,Conservative
About Right,28,Female,80.300003,South Atlantic,Conservative
Too Little,38,Male,78.5,Pacific,Slightly Conservative
About Right,21,Female,32.400002,Mountain,Extremely Liberal
Too Little,45,Male,63.5,W. Sou. Central,Moderate
About Right,64,Female,69.699997,South Atlantic,Slightly Liberal
Too Little,31,Male,78,Pacific,Slightly Conservative
Too Little,35,Male,69.699997,E. Nor. Central,Conservative
Too Little,52,Female,80.300003,Middle Atlantic,Conservative
Too Little,88,Female,73.199997,Mountain,Moderate
Too Little,53,Male,36.5,E. Nor. Central,Moderate
About Right,28,Female,30.799999,E. Nor. Central,Slightly Liberal
Too Much,43,Male,35.400002,South Atlantic,Conservative
About Right,41,Male,29.5,W. Sou. Central,Conservative
Too Little,65,Male,64.400002,New England,Slightly Conservative
About Right,69,Female,50.700001,E. Sou. Central,Moderate
About Right,82,Male,48.5,Middle Atlantic,Conservative
Too Little,29,Male,29.700001,New England,Moderate
Too Much,55,Male,28,South Atlantic,Extremely Liberal
Too Much,43,Male,64.099998,E. Nor. Central,Slightly Conservative
About Right,55,Female,38.900002,E. Sou. Central,Moderate
About Right,43,Female,29,E. Nor. Central,Conservative
About Right,36,Male,60.299999,W. Sou. Central,Conservative
About Right,80,Female,51.900002,W. Nor. Central,Moderate
Too Little,85,Male,50.700001,Mountain,Moderate
About Right,23,Male,83.699997,Middle Atlantic,Liberal
Too Little,70,Female,34.599998,South Atlantic,Slightly Conservative
About Right,69,Female,63.5,E. Nor. Central,Slightly Conservative
Too Little,30,Female,50.700001,South Atlantic,Slightly Liberal
About Right,55,Female,17.1,W. Sou. Central,Moderate
Too Much,56,Male,63.5,South Atlantic,Conservative
Too Little,34,Male,33.900002,South Atlantic,Liberal
Too Little,20,Female,36.5,New England,Liberal
About Right,41,Male,26.4,South Atlantic,Moderate
About Right,32,Female,33.900002,E. Nor. Central,Moderate
About Right,19,Male,29.5,W. Nor. Central,Liberal
About Right,44,Male,31.5,W. Sou. Central,Slightly Conservative
About Right,56,Female,63.5,E. Sou. Central,Extremely Conservative
About Right,42,Female,37.700001,Mountain,Moderate
About Right,66,Female,33.099998,W. Nor. Central,Conservative
Too Little,67,Female,54.200001,W. Nor. Central,Liberal
Too Little,40,Female,63.200001,W. Sou. Central,Slightly Liberal
Too Much,54,Female,38.400002,W. Nor. Central,Conservative
Too Little,69,Female,78.5,Middle Atlantic,Moderate
Too Much,73,Female,73.199997,Middle Atlantic,Conservative
About Right,82,Female,78.5,Pacific,Moderate
Too Little,44,Female,62.5,W. Nor. Central,Moderate
Too Much,23,Female,33.099998,E. Sou. Central,Moderate
About Right,39,Male,63.5,E. Sou. Central,Moderate
About Right,36,Female,29.299999,Pacific,Moderate
About Right,56,Male,76.300003,W. Nor. Central,Conservative
About Right,26,Male,32.299999,E. Nor. Central,Moderate
About Right,39,Female,80.300003,Pacific,Slightly Liberal
About Right,40,Female,64.099998,Middle Atlantic,Conservative
About Right,89,Female,78.5,South Atlantic,Slightly Liberal
Too Little,36,Female,30.700001,E. Nor. Central,Liberal
About Right,47,Female,38.400002,Middle Atlantic,Moderate
Too Little,47,Male,75.199997,Pacific,Slightly Liberal
Too Little,28,Male,83.900002,Mountain,Moderate
About Right,58,Male,31.299999,Mountain,Extremely Conservative
About Right,51,Female,54.700001,E. Nor. Central,Extremely Conservative
About Right,35,Female,68.099998,W. Nor. Central,Slightly Liberal
Too Little,47,Male,73.300003,Mountain,Slightly Conservative
About Right,32,Male,59,Mountain,Moderate
Too Little,45,Female,63.5,Pacific,Slightly Conservative
Too Little,45,Female,38,Pacific,Moderate
Too Much,35,Female,52.5,W. Sou. Central,Moderate
Too Much,79,Male,93.300003,Pacific,Conservative
About Right,67,Male,30.1,Pacific,Slightly Liberal
Too Little,32,Female,33.900002,South Atlantic,Slightly Conservative
Too Little,41,Male,63.5,South Atlantic,Liberal
About Right,32,Male,29.4,E. Nor. Central,Liberal
About Right,36,Female,54.200001,E. Nor. Central,Moderate
About Right,51,Male,42.200001,E. Nor. Central,Liberal
Too Much,47,Male,20.1,Pacific,Slightly Conservative
Too Little,52,Female,57.099998,E. Nor. Central,Moderate
Too Little,36,Female,50.700001,South Atlantic,Moderate
Too Little,50,Male,73.900002,South Atlantic,Extremely Conservative
Too Much,67,Male,31.5,E. Nor. Central,Conservative
Too Much,36,Female,63.5,Middle Atlantic,Slightly Liberal
About Right,32,Male,63.200001,New England,Moderate
About Right,76,Male,86.599998,Pacific,Slightly Liberal
About Right,28,Male,63.5,W. Nor. Central,Slightly Liberal
Too Much,59,Female,38.5,Pacific,Extremely Conservative
Too Little,49,Female,63.5,Middle Atlantic,Moderate
About Right,62,Female,37.900002,Middle Atlantic,Liberal
Too Little,71,Female,43.5,E. Sou. Central,Moderate
Too Little,30,Male,32.400002,Mountain,Liberal
Too Little,37,Male,30.4,South Atlantic,Moderate
About Right,36,Male,73.599998,New England,Moderate
Too Little,39,Male,29.799999,Pacific,Moderate
About Right,22,Female,38.400002,South Atlantic,Liberal
About Right,24,Male,60.5,E. Nor. Central,Moderate
About Right,40,Female,26.4,New England,Liberal
Too Little,27,Male,38.099998,Pacific,Moderate
About Right,29,Female,52.5,Middle Atlantic,Slightly Liberal
About Right,23,Male,46.799999,W. Sou. Central,Slightly Conservative
Too Much,55,Male,51.900002,E. Nor. Central,Moderate
About Right,27,Female,33.099998,New England,Slightly Liberal
About Right,48,Female,38.400002,E. Nor. Central,Conservative
Too Little,41,Male,63.5,W. Nor. Central,Slightly Liberal
Too Little,25,Male,37.599998,E. Sou. Central,Slightly Liberal
Too Little,50,Male,80.300003,South Atlantic,Slightly Conservative
Too Little,48,Male,48.900002,Middle Atlantic,Moderate
About Right,53,Male,32.700001,W. Nor. Central,Conservative
Too Little,53,Female,21.200001,Middle Atlantic,Liberal
Too Little,54,Female,73.199997,South Atlantic,Slightly Conservative
Too Little,58,Female,78.5,Mountain,Liberal
Too Little,35,Male,22.9,Pacific,Moderate
About Right,69,Female,38.400002,E. Nor. Central,Moderate
Too Little,31,Female,63.200001,E. Nor. Central,Slightly Liberal
About Right,33,Female,69.199997,W. Sou. Central,Liberal
About Right,39,Female,87.900002,Middle Atlantic,Liberal
Too Little,44,Female,38.400002,Middle Atlantic,Moderate
About Right,31,Female,57.099998,E. Nor. Central,Moderate
About Right,27,Male,29.299999,W. Nor. Central,Slightly Liberal
About Right,88,Male,59.299999,Mountain,Moderate
Too Little,53,Female,32.299999,W. Sou. Central,Moderate
About Right,70,Female,38.400002,New England,Liberal
Too Little,40,Male,89.199997,Pacific,Slightly Conservative
Too Little,28,Female,33.099998,South Atlantic,Extremely Liberal
Too Much,44,Female,32.400002,Middle Atlantic,Conservative
Too Little,33,Male,38.099998,Pacific,Moderate
About Right,27,Male,65.800003,Pacific,Slightly Liberal
Too Much,59,Female,33.099998,E. Nor. Central,Moderate
About Right,32,Male,22.700001,South Atlantic,Slightly Liberal
About Right,20,Female,26.4,Pacific,Slightly Liberal
Too Little,68,Female,38.400002,South Atlantic,Moderate
About Right,21,Male,45.400002,W. Sou. Central,Slightly Liberal
Too Little,32,Male,34.200001,Pacific,Moderate
Too Little,41,Female,48.799999,New England,Moderate
About Right,69,Female,32.400002,W. Sou. Central,Moderate
About Right,32,Female,57.099998,E. Nor. Central,Liberal
About Right,26,Male,64.199997,Middle Atlantic,Extremely Liberal
Too Little,34,Male,83.699997,South Atlantic,Moderate
Too Little,65,Female,33.099998,E. Nor. Central,Slightly Conservative
About Right,28,Female,36.5,South Atlantic,Moderate
Too Little,38,Male,45.400002,Middle Atlantic,Liberal
Too Little,43,Male,59.099998,Pacific,Slightly Liberal
Too Much,72,Male,29.200001,New England,Liberal
About Right,50,Female,37.700001,South Atlantic,Moderate
Too Little,35,Female,34.299999,W. Nor. Central,Moderate
About Right,38,Male,31.5,South Atlantic,Moderate
Too Little,73,Male,58.299999,Middle Atlantic,Moderate
Too Little,32,Male,86.599998,E. Nor. Central,Slightly Conservative
About Right,68,Female,63.5,Pacific,Conservative
Too Little,52,Female,63.5,New England,Liberal
About Right,32,Female,38.900002,Middle Atlantic,Conservative
About Right,44,Male,38.099998,South Atlantic,Moderate
Too Much,50,Female,64.099998,W. Sou. Central,Moderate
Too Little,38,Male,47.799999,South Atlantic,Slightly Conservative
About Right,83,Male,41.599998,Pacific,Moderate
Too Much,51,Male,25.799999,E. Sou. Central,Conservative
About Right,26,Male,34.200001,Mountain,Slightly Conservative
About Right,35,Female,29.299999,Middle Atlantic,Slightly Conservative
Too Little,33,Male,28,E. Nor. Central,Slightly Liberal
Too Much,41,Male,48.799999,W. Sou. Central,Moderate
About Right,65,Male,33.599998,Middle Atlantic,Moderate
Too Little,41,Female,27.5,E. Sou. Central,Extremely Liberal
About Right,58,Female,17.1,E. Sou. Central,Slightly Conservative
Too Little,65,Male,38,W. Sou. Central,Extremely Conservative
About Right,47,Male,92.300003,E. Nor. Central,Moderate
Too Little,41,Male,26.9,E. Sou. Central,Conservative
Too Little,68,Male,63.5,Middle Atlantic,Extremely Conservative
Too Little,48,Male,92.300003,E. Nor. Central,Moderate
Too Little,57,Female,36.900002,E. Nor. Central,Slightly Liberal
About Right,35,Male,63.5,W. Nor. Central,Moderate
Too Much,77,Male,63.5,E. Nor. Central,Conservative
Too Little,37,Female,83.699997,W. Sou. Central,Slightly Conservative
Too Little,48,Male,73.800003,Pacific,Moderate
About Right,30,Female,76.400002,South Atlantic,Conservative
Too Little,24,Female,78.5,E. Nor. Central,Slightly Conservative
About Right,28,Female,37.700001,Pacific,Slightly Liberal
Too Little,27,Male,39.400002,E. Nor. Central,Moderate
About Right,47,Female,63.5,South Atlantic,Moderate
About Right,27,Male,53.400002,Mountain,Moderate
Too Much,23,Female,37.400002,Pacific,Slightly Conservative
Too Much,21,Female,32.400002,Mountain,Slightly Liberal
Too Little,37,Female,22.5,Middle Atlantic,Slightly Liberal
Too Little,30,Male,63.5,Middle Atlantic,Slightly Liberal
About Right,21,Female,33.099998,Middle Atlantic,Moderate
About Right,59,Male,64.199997,Pacific,Liberal
Too Little,41,Female,38.900002,Mountain,Moderate
Too Much,46,Male,31.5,E. Nor. Central,Slightly Liberal
About Right,47,Female,33.599998,South Atlantic,Moderate
Too Much,39,Male,33.099998,W. Sou. Central,Conservative
About Right,66,Male,62.099998,E. Sou. Central,Conservative
About Right,44,Female,78.5,W. Nor. Central,Moderate
About Right,35,Female,37.400002,Mountain,Slightly Conservative
Too Little,40,Male,62.099998,E. Nor. Central,Extremely Liberal
About Right,27,Male,34.799999,Pacific,Moderate
Too Little,56,Female,73.199997,Pacific,Moderate
Too Little,52,Female,63.5,Middle Atlantic,Slightly Conservative
About Right,57,Male,88.800003,Middle Atlantic,Slightly Liberal
Too Much,31,Male,63.5,Middle Atlantic,Moderate
About Right,28,Female,38.400002,E. Nor. Central,Liberal
Too Little,22,Male,28.6,Pacific,Conservative
About Right,60,Female,48.5,W. Sou. Central,Liberal
Too Much,38,Male,63.5,W. Nor. Central,Slightly Liberal
Too Much,28,Male,63.5,Pacific,Moderate
About Right,56,Female,73.199997,E. Nor. Central,Moderate
About Right,48,Male,44.700001,South Atlantic,Conservative
About Right,89,Female,63.5,Mountain,Moderate
About Right,38,Female,50.700001,W. Sou. Central,Moderate
Too Much,23,Male,43.099998,E. Sou. Central,Liberal
Too Little,28,Male,33.099998,E. Nor. Central,Moderate
About Right,32,Female,56.599998,South Atlantic,Moderate
About Right,67,Male,31.5,W. Nor. Central,Slightly Conservative
Too Little,21,Male,34.299999,Mountain,Slightly Liberal
Too Little,57,Female,60.5,Pacific,Moderate
Too Much,30,Female,38.400002,E. Sou. Central,Slightly Conservative
About Right,55,Female,76.400002,New England,Slightly Liberal
Too Little,80,Male,53.900002,E. Sou. Central,Conservative
Too Much,76,Male,35.400002,E. Nor. Central,Moderate
About Right,56,Female,84.199997,W. Nor. Central,Slightly Conservative
About Right,30,Male,31.5,E. Nor. Central,Moderate
Too Little,57,Female,83.199997,Pacific,Liberal
Too Little,22,Male,76.400002,New England,Moderate
About Right,27,Female,26.6,E. Nor. Central,Moderate
About Right,58,Female,26.4,South Atlantic,Conservative
About Right,43,Female,32.400002,Mountain,Extremely Liberal
Too Little,55,Female,29.299999,Pacific,Extremely Conservative
Too Little,26,Female,63.5,W. Sou. Central,Extremely Liberal
Too Little,38,Female,64.099998,W. Sou. Central,Slightly Liberal
Too Little,47,Male,38.200001,E. Sou. Central,Extremely Conservative
About Right,56,Male,38.099998,W. Nor. Central,Moderate
Too Little,43,Male,62,E. Nor. Central,Moderate
Too Much,38,Male,63.5,Pacific,Extremely Liberal
Too Little,40,Male,28.4,New England,Moderate
About Right,35,Female,38.400002,Pacific,Extremely Conservative
About Right,38,Male,28.6,Middle Atlantic,Moderate
About Right,32,Male,33.599998,W. Sou. Central,Moderate
About Right,44,Male,57.099998,W. Nor. Central,Conservative
Too Much,28,Female,76.400002,Mountain,Liberal
Too Little,70,Female,32,South Atlantic,Moderate
Too Little,42,Male,62,W. Nor. Central,Moderate
About Right,28,Female,38.400002,E. Nor. Central,Moderate
Too Little,34,Female,26.4,E. Nor. Central,Slightly Liberal
Too Little,62,Female,28.4,Middle Atlantic,Conservative
About Right,50,Female,64.800003,New England,Moderate
Too Little,46,Female,36.5,W. Nor. Central,Extremely Liberal
About Right,27,Female,50.700001,Mountain,Slightly Conservative
Too Little,71,Female,37.700001,Middle Atlantic,Moderate
Too Much,76,Female,29.5,E. Nor. Central,Liberal
Too Little,65,Male,92.300003,Pacific,Slightly Conservative
About Right,32,Female,32.400002,W. Sou. Central,Extremely Liberal
Too Little,23,Male,31.5,E. Nor. Central,Slightly Conservative
About Right,27,Male,43.599998,W. Sou. Central,Slightly Conservative
About Right,44,Female,76.400002,South Atlantic,Slightly Conservative
About Right,24,Male,36.5,Mountain,Moderate
About Right,45,Male,50.200001,South Atlantic,Moderate
Too Little,67,Male,76.400002,E. Nor. Central,Slightly Conservative
About Right,39,Male,25.799999,E. Nor. Central,Liberal
Too Little,41,Male,35.400002,E. Sou. Central,Slightly Conservative
Too Much,47,Female,80.300003,E. Nor. Central,Moderate
About Right,69,Female,64.199997,E. Nor. Central,Extremely Conservative
Too Little,68,Female,38,Pacific,Moderate
Too Little,80,Female,33.099998,E. Sou. Central,Moderate
Too Little,68,Male,53.700001,South Atlantic,Slightly Liberal
About Right,71,Female,36.5,South Atlantic,Moderate
Too Little,61,Male,31.4,E. Nor. Central,Moderate
About Right,51,Male,37.599998,South Atlantic,Conservative
Too Little,38,Male,92.300003,South Atlantic,Slightly Liberal
Too Little,36,Female,63.200001,Middle Atlantic,Slightly Liberal
About Right,24,Female,53.200001,Pacific,Slightly Conservative
Too Little,50,Female,50.5,Middle Atlantic,Slightly Liberal
Too Much,21,Male,62.200001,Middle Atlantic,Moderate
About Right,74,Male,50.700001,South Atlantic,Moderate
About Right,24,Female,29.1,Middle Atlantic,Extremely Liberal
About Right,47,Male,97.199997,E. Nor. Central,Slightly Conservative
About Right,30,Male,29.4,Middle Atlantic,Moderate
About Right,47,Female,53.299999,E. Nor. Central,Slightly Conservative
About Right,31,Female,67,Mountain,Slightly Conservative
Too Little,27,Male,65.800003,Mountain,Moderate
Too Little,42,Male,53.400002,E. Nor. Central,Slightly Liberal
Too Little,40,Female,67,Pacific,Conservative
About Right,36,Female,22.5,Middle Atlantic,Moderate
Too Little,49,Male,92.300003,Middle Atlantic,Conservative
About Right,50,Female,45.400002,W. Sou. Central,Moderate
Too Little,74,Male,38.200001,Middle Atlantic,Moderate
Too Much,21,Female,33.099998,Middle Atlantic,Conservative
Too Little,31,Male,26.5,South Atlantic,Moderate
About Right,81,Female,32.400002,New England,Slightly Liberal
About Right,75,Male,52.400002,E. Nor. Central,Conservative
Too Little,76,Female,37.700001,Middle Atlantic,Conservative
Too Little,70,Female,26.700001,New England,Liberal
About Right,34,Female,39,Middle Atlantic,Slightly Liberal
About Right,58,Female,38.900002,South Atlantic,Slightly Liberal
Too Little,55,Female,82.699997,Pacific,Extremely Conservative
About Right,24,Female,26.700001,E. Nor. Central,Moderate
About Right,42,Male,48.799999,Mountain,Conservative
Too Much,36,Female,38.900002,South Atlantic,Conservative
Too Much,29,Female,31.4,Pacific,Moderate
About Right,48,Female,78.5,E. Sou. Central,Moderate
About Right,40,Female,32.400002,E. Nor. Central,Moderate
About Right,32,Male,50.200001,E. Nor. Central,Moderate
Too Much,50,Female,63.5,Pacific,Moderate
Too Little,77,Female,38.900002,New England,Slightly Conservative
About Right,82,Male,28.6,South Atlantic,Conservative
Too Much,89,Female,58.299999,Mountain,Slightly Liberal
Too Little,28,Female,39.400002,Middle Atlantic,Extremely Conservative
About Right,31,Female,32.400002,W. Sou. Central,Moderate
About Right,55,Female,63.5,Middle Atlantic,Moderate
About Right,61,Male,39.700001,Pacific,Moderate
About Right,30,Female,50.700001,W. Nor. Central,Slightly Conservative
About Right,25,Female,57.099998,W. Sou. Central,Conservative
About Right,78,Female,32,New England,Slightly Liberal
About Right,57,Female,36.5,New England,Slightly Conservative
Too Much,34,Male,28.6,E. Nor. Central,Conservative
Too Little,79,Male,92.300003,South Atlantic,Slightly Liberal
About Right,22,Female,48.5,E. Nor. Central,Conservative
About Right,21,Female,32.400002,Middle Atlantic,Moderate
Too Little,46,Male,63.5,W. Sou. Central,Moderate
Too Little,51,Female,69.199997,South Atlantic,Liberal
Too Much,30,Male,38.200001,E. Nor. Central,Conservative
About Right,30,Female,80.300003,E. Nor. Central,Conservative
About Right,41,Male,21.200001,South Atlantic,Slightly Liberal
Too Little,58,Male,87.900002,Pacific,Conservative
Too Little,40,Male,82.699997,South Atlantic,Moderate
Too Little,48,Male,21.200001,Pacific,Slightly Conservative
About Right,51,Female,73.199997,South Atlantic,Slightly Liberal
Too Little,39,Male,46.799999,Pacific,Moderate
About Right,29,Male,63.200001,South Atlantic,Slightly Conservative
About Right,55,Male,63.5,E. Nor. Central,Liberal
About Right,58,Female,63.5,W. Sou. Central,Moderate
About Right,56,Female,27.5,E. Sou. Central,Slightly Conservative
About Right,42,Female,76.400002,E. Nor. Central,Slightly Conservative
Too Little,40,Male,28.4,W. Nor. Central,Conservative
About Right,53,Male,33.599998,W. Sou. Central,Moderate
Too Little,85,Female,46.700001,W. Sou. Central,Liberal
Too Much,49,Male,76.300003,W. Sou. Central,Conservative
Too Little,62,Female,37.700001,E. Nor. Central,Moderate
About Right,42,Female,31.200001,Middle Atlantic,Slightly Liberal
Too Little,30,Male,40,Middle Atlantic,Extremely Liberal
About Right,87,Female,64.800003,Mountain,Moderate
About Right,35,Female,38.400002,W. Sou. Central,Moderate
About Right,29,Male,37.900002,W. Sou. Central,Slightly Conservative
Too Much,48,Female,63.5,South Atlantic,Liberal
Too Little,54,Male,35.700001,E. Nor. Central,Moderate
Too Little,46,Female,39,South Atlantic,Moderate
About Right,53,Female,37.700001,Middle Atlantic,Slightly Conservative
Too Little,30,Female,64.199997,South Atlantic,Slightly Liberal
About Right,59,Female,29,E. Sou. Central,Conservative
Too Little,47,Female,46.799999,E. Nor. Central,Liberal
Too Little,24,Female,29.299999,W. Sou. Central,Moderate
Too Little,40,Female,33.099998,E. Sou. Central,Moderate
About Right,78,Male,33.099998,Middle Atlantic,Slightly Liberal
About Right,61,Male,86.5,South Atlantic,Moderate
Too Little,45,Female,84,W. Nor. Central,Moderate
About Right,55,Male,32.299999,Middle Atlantic,Moderate
About Right,71,Female,27.5,Middle Atlantic,Conservative
Too Much,77,Male,29.4,South Atlantic,Moderate
About Right,40,Female,63.5,E. Nor. Central,Slightly Conservative
About Right,54,Female,50.700001,Middle Atlantic,Moderate
About Right,48,Male,73.300003,E. Sou. Central,Conservative
Too Little,36,Female,60.599998,Pacific,Liberal
Too Little,45,Female,92.300003,South Atlantic,Conservative
About Right,35,Female,36.900002,Pacific,Moderate
About Right,33,Female,38.400002,South Atlantic,Conservative
Too Little,39,Female,82.699997,E. Sou. Central,Slightly Conservative
About Right,30,Male,33.099998,Pacific,Moderate
Too Little,26,Male,28.4,South Atlantic,Moderate
About Right,45,Female,78.5,South Atlantic,Conservative
About Right,44,Male,29.200001,Mountain,Liberal
About Right,22,Female,63.5,South Atlantic,Liberal
About Right,41,Female,62.5,South Atlantic,Extremely Liberal
Too Much,60,Female,85.099998,South Atlantic,Extremely Conservative
About Right,21,Female,25.799999,E. Sou. Central,Slightly Conservative
About Right,45,Male,29.200001,E. Nor. Central,Slightly Conservative
Too Little,36,Male,44.700001,South Atlantic,Conservative
Too Much,41,Male,50.200001,Middle Atlantic,Moderate
About Right,55,Male,73.300003,South Atlantic,Extremely Conservative
Too Little,35,Male,36.099998,W. Nor. Central,Liberal
About Right,36,Female,26.4,E. Nor. Central,Moderate
About Right,54,Female,39.599998,Pacific,Moderate
About Right,55,Male,53.700001,E. Sou. Central,Conservative
About Right,72,Male,80.300003,Middle Atlantic,Conservative
About Right,53,Female,64.199997,W. Sou. Central,Moderate
Too Little,61,Female,84,New England,Extremely Liberal
About Right,25,Female,36.5,Middle Atlantic,Liberal
Too Little,55,Female,30.700001,South Atlantic,Moderate
Too Little,51,Female,50.700001,E. Nor. Central,Conservative
About Right,53,Female,48.5,W. Nor. Central,Moderate
About Right,48,Female,63.5,Mountain,Slightly Conservative
About Right,50,Male,27.4,W. Sou. Central,Moderate
About Right,47,Female,38.900002,E. Nor. Central,Conservative
Too Little,56,Female,38.400002,Middle Atlantic,Liberal
Too Much,89,Male,25.5,New England,Slightly Conservative
Too Much,41,Female,32.400002,South Atlantic,Moderate
About Right,62,Male,38.099998,South Atlantic,Moderate
Too Little,43,Male,83.900002,Mountain,Liberal
About Right,78,Female,80.300003,Mountain,Moderate
About Right,41,Female,78.5,E. Nor. Central,Liberal
About Right,26,Female,78.5,New England,Moderate
Too Little,38,Male,50.5,W. Sou. Central,Slightly Conservative
About Right,39,Female,73.300003,W. Sou. Central,Moderate
Too Little,27,Male,24.799999,Mountain,Slightly Liberal
About Right,45,Male,85.099998,W. Sou. Central,Moderate
Too Little,55,Male,48.5,Middle Atlantic,Conservative
Too Little,64,Female,31.4,E. Nor. Central,Slightly Conservative
Too Little,71,Female,38.400002,Pacific,Moderate
Too Little,27,Female,32.099998,Pacific,Moderate
About Right,38,Female,29.299999,Mountain,Moderate
About Right,55,Male,51,Mountain,Moderate
About Right,64,Female,33.099998,W. Sou. Central,Slightly Liberal
Too Little,88,Female,30.700001,Pacific,Liberal
About Right,18,Male,28.6,Mountain,Moderate
Too Little,54,Male,63.5,E. Nor. Central,Moderate
Too Little,53,Male,73.199997,E. Sou. Central,Conservative
Too Little,78,Male,53.299999,Middle Atlantic,Slightly Liberal
About Right,46,Male,50.700001,Pacific,Slightly Conservative
About Right,61,Female,36.200001,E. Nor. Central,Conservative
Too Little,71,Female,87,W. Sou. Central,Slightly Liberal
Too Little,45,Female,51.900002,Pacific,Slightly Liberal
Too Little,62,Male,82.699997,Middle Atlantic,Slightly Conservative
Too Little,42,Male,63.5,Pacific,Liberal
Too Little,57,Male,83.699997,E. Nor. Central,Slightly Conservative
About Right,47,Female,35.099998,Middle Atlantic,Slightly Conservative
About Right,35,Male,49.599998,South Atlantic,Conservative
About Right,22,Female,29.299999,W. Nor. Central,Liberal
Too Little,84,Female,78.5,South Atlantic,Conservative
Too Little,43,Female,62.200001,W. Sou. Central,Moderate
About Right,72,Female,50.700001,W. Nor. Central,Moderate
About Right,67,Female,22.5,W. Nor. Central,Slightly Conservative
Too Little,55,Male,46.799999,E. Nor. Central,Liberal
Too Little,52,Female,80.099998,Middle Atlantic,Extremely Liberal
About Right,40,Male,37.900002,Pacific,Extremely Liberal
About Right,48,Male,29.200001,W. Nor. Central,Slightly Liberal
Too Little,67,Female,38.400002,E. Nor. Central,Slightly Conservative
Too Little,24,Male,37.299999,Mountain,Slightly Liberal
Too Little,43,Male,38.900002,Pacific,Slightly Conservative
Too Little,32,Female,50.700001,W. Sou. Central,Liberal
Too Little,53,Female,36.900002,Middle Atlantic,Moderate
Too Much,47,Male,29.200001,Pacific,Slightly Liberal
Too Little,33,Male,31.700001,New England,Moderate
Too Little,25,Female,57.099998,Mountain,Moderate
Too Little,89,Female,29.299999,E. Nor. Central,Moderate
About Right,43,Male,34.200001,South Atlantic,Moderate
Too Little,23,Female,63.5,W. Sou. Central,Moderate
About Right,43,Male,26.700001,Pacific,Moderate
About Right,50,Male,52.400002,W. Sou. Central,Liberal
About Right,48,Female,68.099998,Pacific,Slightly Conservative
About Right,79,Male,34.200001,W. Sou. Central,Moderate
About Right,31,Male,74,E. Nor. Central,Slightly Conservative
About Right,27,Female,53.299999,South Atlantic,Moderate
Too Little,52,Male,33.599998,Middle Atlantic,Slightly Liberal
Too Much,37,Male,28.6,Middle Atlantic,Conservative
About Right,24,Male,62,Middle Atlantic,Extremely Conservative
Too Little,25,Female,38.400002,Mountain,Slightly Conservative
Too Little,63,Male,59,Pacific,Slightly Liberal
Too Much,56,Male,86.5,Mountain,Extremely Conservative
About Right,43,Male,31.299999,W. Sou. Central,Conservative
About Right,44,Male,60.599998,E. Nor. Central,Liberal
Too Little,47,Female,73.199997,Pacific,Liberal
